2024-09-25-17:26:49 INFO  ExtentReports instance initialized successfully.
2024-09-25-17:26:53 DEBUG Username is entered.
2024-09-25-17:26:53 DEBUG Password is Entered.
2024-09-25-17:26:54 INFO  'Login' button is clicked
2024-09-25-17:26:57 INFO  Clicked on '+'
2024-09-25-17:26:57 INFO  All tabs page is displayed.
2024-09-25-17:26:57 INFO  Clicked on 'Customize My Tabs'
2024-09-25-17:26:57 INFO  Customize My Tabs Page is displayed.
2024-09-25-17:26:58 INFO  'Opportunities' is selected from 'Selected Tabs'
2024-09-25-17:26:58 INFO  'Remove' button is Clicked.
2024-09-25-17:26:58 INFO  Opportunities is  not avaliable in Available Tabs drop down
2024-09-25-17:26:58 INFO  Opportunities is  not avaliable in Available Tabs drop down
2024-09-25-17:26:58 INFO  Opportunities is  not avaliable in Available Tabs drop down
2024-09-25-17:26:58 INFO  Opportunities is  not avaliable in Available Tabs drop down
2024-09-25-17:26:58 INFO  Opportunities is  not avaliable in Available Tabs drop down
2024-09-25-17:26:58 INFO  Opportunities is  not avaliable in Available Tabs drop down
2024-09-25-17:26:58 INFO  Opportunities is  not avaliable in Available Tabs drop down
2024-09-25-17:26:58 INFO  Opportunities is  not avaliable in Available Tabs drop down
2024-09-25-17:26:58 INFO  Opportunities is  not avaliable in Available Tabs drop down
2024-09-25-17:26:58 INFO  Opportunities is  not avaliable in Available Tabs drop down
2024-09-25-17:26:58 INFO  Opportunities is  not avaliable in Available Tabs drop down
2024-09-25-17:26:58 INFO  Opportunities is  not avaliable in Available Tabs drop down
2024-09-25-17:26:58 INFO  Opportunities is  not avaliable in Available Tabs drop down
2024-09-25-17:26:59 INFO  Opportunities is  not avaliable in Available Tabs drop down
2024-09-25-17:26:59 INFO  Opportunities is  not avaliable in Available Tabs drop down
2024-09-25-17:26:59 INFO  Opportunities is  not avaliable in Available Tabs drop down
2024-09-25-17:26:59 INFO  Opportunities is  not avaliable in Available Tabs drop down
2024-09-25-17:26:59 INFO  Opportunities is  not avaliable in Available Tabs drop down
2024-09-25-17:26:59 INFO  Opportunities is  not avaliable in Available Tabs drop down
2024-09-25-17:26:59 INFO  Opportunities is  not avaliable in Available Tabs drop down
2024-09-25-17:26:59 INFO  Opportunities is  not avaliable in Available Tabs drop down
2024-09-25-17:26:59 INFO  Opportunities is  not avaliable in Available Tabs drop down
2024-09-25-17:26:59 INFO  Opportunities is  not avaliable in Available Tabs drop down
2024-09-25-17:26:59 INFO  Opportunities is  not avaliable in Available Tabs drop down
2024-09-25-17:26:59 INFO  Opportunities is  not avaliable in Available Tabs drop down
2024-09-25-17:26:59 INFO  Opportunities is  not avaliable in Available Tabs drop down
2024-09-25-17:26:59 INFO  Opportunities is  not avaliable in Available Tabs drop down
2024-09-25-17:26:59 INFO  Opportunities is  not avaliable in Available Tabs drop down
2024-09-25-17:26:59 INFO  Opportunities is  not avaliable in Available Tabs drop down
2024-09-25-17:26:59 INFO  Opportunities is  not avaliable in Available Tabs drop down
2024-09-25-17:26:59 INFO  Opportunities is  not avaliable in Available Tabs drop down
